dataset,segment_id,model,n_frames,n_iters,delta_FR,delta_IMU,duration_s,mean_err_deg_s,median_err_deg_s,mean_dir_err_deg,mean_beta
boxes_rotation,seg_A,thesis_imu,25,75,0.2,0.1,0.5,11.238080149201283,11.17067378744969,0.8338052662797218,1.1470487875567246
boxes_rotation,seg_A,thesis_imu,25,75,0.2,0.2,0.5,7.657381498158814,7.396913256139041,0.3902048805986426,1.0958110169596795
boxes_rotation,seg_A,thesis_imu,25,75,0.2,0.3,0.5,5.84906232435478,5.593920859166488,0.2525182775100097,1.0714819351039946
boxes_rotation,seg_A,thesis_imu,25,75,0.2,0.5,0.5,3.987122647321426,3.79146834482602,0.150211644630003,1.0475516278566772
boxes_rotation,seg_A,thesis_imu,25,75,0.3,0.1,0.5,13.468860942205456,13.631984337221377,1.1828972679704024,1.181225969270195
boxes_rotation,seg_A,thesis_imu,25,75,0.3,0.2,0.5,9.696376562761126,9.486409502048481,0.5807634321399984,1.1246181862858196
boxes_rotation,seg_A,thesis_imu,25,75,0.3,0.3,0.5,7.65974272332403,7.382593421504774,0.3767046572185479,1.0958837980266025
boxes_rotation,seg_A,thesis_imu,25,75,0.3,0.5,0.5,5.428450613501684,5.174355287855645,0.22223403568473984,1.065988305199826
boxes_rotation,seg_A,thesis_imu,25,75,0.5,0.1,0.5,16.264357986363205,16.961987558107563,1.7734831958798352,1.2261546104113343
boxes_rotation,seg_A,thesis_imu,25,75,0.5,0.2,0.5,12.45864299904792,12.43456126747591,0.9439153603714057,1.1658989875535464
boxes_rotation,seg_A,thesis_imu,25,75,0.5,0.3,0.5,10.256027845872785,10.055632730381141,0.6243298948402073,1.1328483937487912
boxes_rotation,seg_A,thesis_imu,25,75,0.5,0.5,0.5,7.662040381915667,7.376410685507128,0.36689068164486566,1.0959447566974339
boxes_rotation,seg_A,thesis_imu,25,100,0.1,0.1,0.5,7.674029762348117,7.362998851497121,0.33840507636123,1.0961899083465523
boxes_rotation,seg_A,thesis_imu,25,100,0.1,0.2,0.5,4.753600807992089,4.547098731268889,0.17059669592533513,1.0573132952068205
boxes_rotation,seg_A,thesis_imu,25,100,0.1,0.3,0.5,3.4516795338011352,3.3196543791955073,0.11694440466300458,1.040904193611286
boxes_rotation,seg_A,thesis_imu,25,100,0.1,0.5,0.5,2.23264491753325,2.160505886337273,0.0726282314121317,1.0260364543880232
